NUTS2_code,process,season,day_type,hour,load,temperature
SK01,shw_tertiary,,1,13,51.8638,
SK01,shw_tertiary,,1,14,51.1551,
SK01,shw_tertiary,,1,15,49.7742,
SK01,shw_tertiary,,1,16,47.9542,
SK01,shw_tertiary,,1,17,46.4687,
SK01,shw_tertiary,,1,18,45.5927,
SK01,shw_tertiary,,1,19,44.9462,
SK01,shw_tertiary,,1,20,44.5839,
SK01,shw_tertiary,,1,21,43.0253,
SK01,shw_tertiary,,1,22,40.6986,
SK01,shw_tertiary,,1,23,37.0801,
SK01,shw_tertiary,,1,24,34.6387,
SK01,shw_tertiary,,2,1,32.8523,
SK01,shw_tertiary,,2,2,32.8674,
SK01,shw_tertiary,,2,3,33.0747,
SK01,shw_tertiary,,2,4,34.3162,
SK01,shw_tertiary,,2,5,35.5104,
SK01,shw_tertiary,,2,6,37.3512,
SK01,shw_tertiary,,2,7,39.6136,
SK01,shw_tertiary,,2,8,42.5469,
SK01,shw_tertiary,,2,9,44.6388,
SK01,shw_tertiary,,2,10,45.6237,
SK01,shw_tertiary,,2,11,45.8872,
SK01,shw_tertiary,,2,12,45.5709,
SK01,shw_tertiary,,2,13,44.8547,
SK01,shw_tertiary,,2,14,43.8324,
SK01,shw_tertiary,,2,15,42.3207,
SK01,shw_tertiary,,2,16,40.9436,
SK01,shw_tertiary,,2,17,40.2874,
SK01,shw_tertiary,,2,18,40.4314,
SK01,shw_tertiary,,2,19,40.7601,
SK01,shw_tertiary,,2,20,40.9103,
SK01,shw_tertiary,,2,21,40.0489,
SK01,shw_tertiary,,2,22,38.8331,
SK01,shw_tertiary,,2,23,36.3173,
SK01,shw_tertiary,,2,24,34.3734,
SK02,shw_tertiary,,0,1,34.8493,
SK02,shw_tertiary,,0,2,33.3116,
SK02,shw_tertiary,,0,3,33.3277,
SK02,shw_tertiary,,0,4,33.7242,
SK02,shw_tertiary,,0,5,35.381,
SK02,shw_tertiary,,0,6,37.6637,
SK02,shw_tertiary,,0,7,41.6341,
SK02,shw_tertiary,,0,8,47.78,
SK02,shw_tertiary,,0,9,55.3136,
SK02,shw_tertiary,,0,10,61.0718,
SK02,shw_tertiary,,0,11,63.2179,
SK02,shw_tertiary,,0,12,62.7363,
SK02,shw_tertiary,,0,13,61.3767,
SK02,shw_tertiary,,0,14,60.3486,
SK02,shw_tertiary,,0,15,58.6768,
SK02,shw_tertiary,,0,16,55.2883,
SK02,shw_tertiary,,0,17,51.3358,
SK02,shw_tertiary,,0,18,48.6286,
SK02,shw_tertiary,,0,19,47.6886,
